# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   23821   2   -4.106839    7.193711E-03    6.286182E-03    6.725319E+00    7.696246E+00
   24100   2   -4.103046    5.986400E-03    5.133992E-03    8.081652E+00    9.423466E+00
   24101   2   -4.112409    8.563871E-03    7.433692E-03    5.649314E+00    6.508206E+00
   24102   2   -4.121126    9.285587E-03    8.162060E-03    5.210225E+00    5.927425E+00
   24103   2   -4.129134    9.264876E-03    8.242721E-03    5.221873E+00    5.869421E+00
   24104   2   -4.136371    9.128461E-03    8.210690E-03    5.299908E+00    5.892318E+00
   24105   2   -4.142777    9.003454E-03    8.176512E-03    5.373493E+00    5.916948E+00
   24106   2   -4.148298    8.902846E-03    8.151985E-03    5.434218E+00    5.934751E+00
   24107   2   -4.152884    8.826054E-03    8.136869E-03    5.481498E+00    5.945776E+00
   24108   2   -4.156493    8.771470E-03    8.129852E-03    5.515609E+00    5.950908E+00
   24109   2   -4.159091    8.737506E-03    8.129498E-03    5.537049E+00    5.951167E+00
   24110   2   -4.160653    8.722670E-03    8.134358E-03    5.546467E+00    5.947611E+00
   24111   2   -4.161165    8.725645E-03    8.143097E-03    5.544576E+00    5.941228E+00
   24112   2   -4.160623    8.745339E-03    8.154588E-03    5.532090E+00    5.932857E+00
   24113   2   -4.159032    8.780917E-03    8.167982E-03    5.509675E+00    5.923128E+00
   24114   2   -4.156410    8.831857E-03    8.182760E-03    5.477897E+00    5.912431E+00
   24115   2   -4.152782    8.897984E-03    8.198751E-03    5.437187E+00    5.900899E+00
   24116   2   -4.148184    8.979476E-03    8.216102E-03    5.387842E+00    5.888437E+00
   24117   2   -4.142659    9.076869E-03    8.235243E-03    5.330032E+00    5.874751E+00
   24118   2   -4.136256    9.189998E-03    8.255992E-03    5.264419E+00    5.859986E+00
   24119   2   -4.129029    9.304918E-03    8.266625E-03    5.199401E+00    5.852449E+00
   24120   2   -4.121039    9.290710E-03    8.158102E-03    5.207352E+00    5.930301E+00
   24121   2   -4.112344    8.516576E-03    7.404602E-03    5.680687E+00    6.533775E+00
   24122   2   -4.103007    5.902001E-03    5.104099E-03    8.197220E+00    9.478656E+00
   24399   2   -4.107498    7.498940E-03    6.420651E-03    6.451578E+00    7.535061E+00
   24400   2   -4.117296    9.173960E-03    7.958594E-03    5.273623E+00    6.078963E+00
   24401   2   -4.126473    9.350527E-03    8.220089E-03    5.174040E+00    5.885581E+00
   24402   2   -4.134965    9.201724E-03    8.190184E-03    5.257710E+00    5.907071E+00
   24403   2   -4.142708    9.043724E-03    8.140062E-03    5.349566E+00    5.943444E+00
   24404   2   -4.149638    8.910332E-03    8.099731E-03    5.429652E+00    5.973038E+00
   24405   2   -4.155699    8.802002E-03    8.070147E-03    5.496477E+00    5.994934E+00
   24406   2   -4.160835    8.717170E-03    8.050321E-03    5.549966E+00    6.009698E+00
   24407   2   -4.165002    8.654168E-03    8.038994E-03    5.590370E+00    6.018166E+00
   24408   2   -4.168158    8.611418E-03    8.034810E-03    5.618122E+00    6.021300E+00
   24409   2   -4.170275    8.587472E-03    8.036393E-03    5.633788E+00    6.020114E+00
   24410   2   -4.171333    8.581033E-03    8.042409E-03    5.638016E+00    6.015611E+00
   24411   2   -4.171320    8.591001E-03    8.051673E-03    5.631474E+00    6.008689E+00
   24412   2   -4.170239    8.616515E-03    8.063234E-03    5.614799E+00    6.000074E+00
   24413   2   -4.168101    8.656983E-03    8.076439E-03    5.588552E+00    5.990264E+00
   24414   2   -4.164927    8.712120E-03    8.090957E-03    5.553183E+00    5.979515E+00
   24415   2   -4.160750    8.781968E-03    8.106779E-03    5.509016E+00    5.967845E+00
   24416   2   -4.155609    8.866952E-03    8.124233E-03    5.456215E+00    5.955023E+00
   24417   2   -4.149551    8.967903E-03    8.143977E-03    5.394795E+00    5.940587E+00
   24418   2   -4.142631    9.085927E-03    8.166846E-03    5.324718E+00    5.923951E+00
   24419   2   -4.134905    9.220452E-03    8.192252E-03    5.247031E+00    5.905580E+00
   24420   2   -4.126435    9.337199E-03    8.191812E-03    5.181426E+00    5.905898E+00
   24421   2   -4.117283    9.118665E-03    7.903663E-03    5.305601E+00    6.121213E+00
   24422   2   -4.107514    7.409143E-03    6.370977E-03    6.529770E+00    7.593811E+00
   24697   2   -4.100667    5.148381E-03    4.346821E-03    9.397129E+00    1.112997E+01
   24698   2   -4.111410    8.479782E-03    7.253206E-03    5.705335E+00    6.670154E+00
   24699   2   -4.121623    9.395049E-03    8.148980E-03    5.149521E+00    5.936939E+00
   24700   2   -4.131241    9.322341E-03    8.197007E-03    5.189684E+00    5.902154E+00
   24701   2   -4.140199    9.136755E-03    8.135538E-03    5.295097E+00    5.946749E+00
   24702   2   -4.148430    8.970366E-03    8.078668E-03    5.393314E+00    5.988611E+00
   24703   2   -4.155871    8.830051E-03    8.033171E-03    5.479017E+00    6.022528E+00
   24704   2   -4.162460    8.714446E-03    7.998524E-03    5.551701E+00    6.048616E+00
   24705   2   -4.168140    8.621871E-03    7.973757E-03    5.611311E+00    6.067404E+00
   24706   2   -4.172861    8.550725E-03    7.957786E-03    5.658000E+00    6.079580E+00
   24707   2   -4.176577    8.499466E-03    7.949393E-03    5.692122E+00    6.085999E+00
   24708   2   -4.179255    8.466680E-03    7.947294E-03    5.714164E+00    6.087606E+00
   24709   2   -4.180868    8.451112E-03    7.950214E-03    5.724690E+00    6.085370E+00
   24710   2   -4.181400    8.451691E-03    7.956961E-03    5.724298E+00    6.080211E+00
