# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   30085   2   -4.166499    8.700962E-03    7.920206E-03    5.560305E+00    6.108427E+00
   30086   2   -4.178988    8.510565E-03    7.832547E-03    5.684699E+00    6.176790E+00
   30087   2   -4.190949    8.334006E-03    7.749581E-03    5.805131E+00    6.242918E+00
   30088   2   -4.202334    8.169468E-03    7.670193E-03    5.922050E+00    6.307534E+00
   30089   2   -4.213096    8.014992E-03    7.593041E-03    6.036188E+00    6.371624E+00
   30090   2   -4.223191    7.848237E-03    7.497346E-03    6.164441E+00    6.452950E+00
   30091   2   -4.232574    7.464455E-03    7.186763E-03    6.481384E+00    6.731821E+00
   30092   2   -4.241203    6.296298E-03    6.107967E-03    7.683880E+00    7.920803E+00
   30093   2   -4.249038    4.213133E-03    4.117148E-03    1.148314E+01    1.175085E+01
   30109   2   -4.248786    4.255680E-03    4.107812E-03    1.136834E+01    1.177756E+01
   30110   2   -4.240953    6.362131E-03    6.115596E-03    7.604370E+00    7.910921E+00
   30111   2   -4.232335    7.533847E-03    7.204290E-03    6.421686E+00    6.715443E+00
   30112   2   -4.222971    7.906523E-03    7.512995E-03    6.118999E+00    6.439509E+00
   30113   2   -4.212903    8.058768E-03    7.603530E-03    6.003399E+00    6.362834E+00
   30114   2   -4.202174    8.199102E-03    7.676592E-03    5.900646E+00    6.302276E+00
   30115   2   -4.190827    8.351231E-03    7.753875E-03    5.793158E+00    6.239461E+00
   30116   2   -4.178909    8.518238E-03    7.837070E-03    5.679578E+00    6.173225E+00
   30117   2   -4.166465    8.702863E-03    7.927460E-03    5.559090E+00    6.102838E+00
   30118   2   -4.153541    8.908084E-03    8.026505E-03    5.431022E+00    6.027530E+00
   30119   2   -4.140182    9.136755E-03    8.135538E-03    5.295097E+00    5.946749E+00
   30120   2   -4.126435    9.350527E-03    8.220089E-03    5.174040E+00    5.885581E+00
   30121   2   -4.112344    8.563871E-03    7.433692E-03    5.649314E+00    6.508206E+00
   30380   2   -4.106787    7.193711E-03    6.286182E-03    6.725319E+00    7.696246E+00
   30381   2   -4.121020    9.290710E-03    8.158102E-03    5.207352E+00    5.930301E+00
   30382   2   -4.134923    9.220452E-03    8.192252E-03    5.247031E+00    5.905580E+00
   30383   2   -4.148449    8.991516E-03    8.085939E-03    5.380628E+00    5.983226E+00
   30384   2   -4.161552    8.780343E-03    7.986631E-03    5.510036E+00    6.057623E+00
   30385   2   -4.174183    8.586517E-03    7.894521E-03    5.634415E+00    6.128301E+00
   30386   2   -4.186298    8.407536E-03    7.807995E-03    5.754362E+00    6.196213E+00
   30387   2   -4.197848    8.241382E-03    7.725780E-03    5.870374E+00    6.262151E+00
   30388   2   -4.208790    8.086432E-03    7.646886E-03    5.982861E+00    6.326759E+00
   30389   2   -4.219079    7.935839E-03    7.565304E-03    6.096394E+00    6.394984E+00
   30390   2   -4.228674    7.699699E-03    7.395444E-03    6.283362E+00    6.541865E+00
   30391   2   -4.237534    6.958102E-03    6.730926E-03    6.953046E+00    7.187718E+00
   30392   2   -4.245620    5.239816E-03    5.103731E-03    9.233149E+00    9.479340E+00
   30409   2   -4.245329    5.282229E-03    5.097679E-03    9.159013E+00    9.490594E+00
   30410   2   -4.237242    7.012358E-03    6.735976E-03    6.899248E+00    7.182330E+00
   30411   2   -4.228392    7.749506E-03    7.402728E-03    6.242978E+00    6.535429E+00
   30412   2   -4.218814    7.973182E-03    7.567795E-03    6.067841E+00    6.392880E+00
   30413   2   -4.208549    8.109631E-03    7.643639E-03    5.965746E+00    6.329446E+00
   30414   2   -4.197637    8.250727E-03    7.717915E-03    5.863725E+00    6.268533E+00
   30415   2   -4.186121    8.404537E-03    7.797184E-03    5.756414E+00    6.204804E+00
   30416   2   -4.174045    8.573769E-03    7.882753E-03    5.642792E+00    6.137449E+00
   30417   2   -4.161454    8.761333E-03    7.976049E-03    5.521991E+00    6.065660E+00
   30418   2   -4.148392    8.970366E-03    8.078668E-03    5.393314E+00    5.988611E+00
   30419   2   -4.134905    9.201724E-03    8.190184E-03    5.257710E+00    5.907071E+00
   30420   2   -4.121039    9.285587E-03    8.162060E-03    5.210225E+00    5.927425E+00
   30421   2   -4.106839    7.250922E-03    6.302476E-03    6.672255E+00    7.676348E+00
   30679   2   -4.100812    5.046130E-03    4.441128E-03    9.587546E+00    1.089363E+01
   30680   2   -4.115130    8.894569E-03    7.827357E-03    5.439274E+00    6.180886E+00
   30681   2   -4.129129    9.304918E-03    8.266625E-03    5.199401E+00    5.852449E+00
   30682   2   -4.142763    9.085927E-03    8.166846E-03    5.324718E+00    5.923951E+00
   30683   2   -4.155983    8.869196E-03    8.061149E-03    5.454835E+00    6.001626E+00
   30684   2   -4.168743    8.671028E-03    7.963687E-03    5.579500E+00    6.075075E+00
   30685   2   -4.180996    8.488867E-03    7.872817E-03    5.699230E+00    6.145196E+00
   30686   2   -4.192697    8.320508E-03    7.787125E-03    5.814549E+00    6.212820E+00
   30687   2   -4.203802    8.164214E-03    7.705542E-03    5.925861E+00    6.278598E+00
   30688   2   -4.214268    8.017723E-03    7.626442E-03    6.034132E+00    6.343718E+00
   30689   2   -4.224054    7.853608E-03    7.524154E-03    6.160226E+00    6.429959E+00
   30690   2   -4.233124    7.454848E-03    7.190110E-03    6.489736E+00    6.728687E+00
   30691   2   -4.241440    6.288940E-03    6.104458E-03    7.692871E+00    7.925355E+00
   30692   2   -4.248970    4.274842E-03    4.174583E-03    1.131738E+01    1.158918E+01
   30708   2   -4.248647    4.298601E-03    4.163804E-03    1.125482E+01    1.161918E+01
   30709   2   -4.241108    6.326072E-03    6.100329E-03    7.647716E+00    7.930720E+00
   30710   2   -4.232791    7.493931E-03    7.190222E-03    6.455890E+00    6.728582E+00
   30711   2   -4.223728    7.884169E-03    7.521223E-03    6.136347E+00    6.432464E+00
   30712   2   -4.213956    8.035627E-03    7.617218E-03    6.020688E+00    6.351400E+00
   30713   2   -4.203510    8.168256E-03    7.690005E-03    5.922929E+00    6.291283E+00
   30714   2   -4.192432    8.310819E-03    7.766194E-03    5.821328E+00    6.229564E+00
   30715   2   -4.180762    8.466732E-03    7.847843E-03    5.714129E+00    6.164752E+00
   30716   2   -4.168542    8.638785E-03    7.936313E-03    5.600325E+00    6.096030E+00
   30717   2   -4.155817    8.830051E-03    8.033171E-03    5.479017E+00    6.022528E+00
   30718   2   -4.142631    9.043724E-03    8.140062E-03    5.349566E+00    5.943444E+00
   30719   2   -4.129030    9.264876E-03    8.242721E-03    5.221873E+00    5.869421E+00
   30720   2   -4.115060    8.886744E-03    7.813452E-03    5.444063E+00    6.191885E+00
   30721   2   -4.100767    5.123110E-03    4.463637E-03    9.443483E+00    1.083869E+01
   30979   2   -4.108660    7.656554E-03    6.768016E-03    6.318770E+00    7.148329E+00
   30980   2   -4.122740    9.310797E-03    8.274549E-03    5.196118E+00    5.846845E+00
   30981   2   -4.136466    9.189998E-03    8.255992E-03    5.264419E+00    5.859986E+00
   30982   2   -4.149789    8.967903E-03    8.143977E-03    5.394795E+00    5.940587E+00
   30983   2   -4.162663    8.764365E-03    8.040196E-03    5.520080E+00    6.017266E+00
   30984   2   -4.175040    8.578126E-03    7.944112E-03    5.639927E+00    6.090045E+00
   30985   2   -4.186876    8.406822E-03    7.854193E-03    5.754850E+00    6.159767E+00
   30986   2   -4.198128    8.248533E-03    7.769231E-03    5.865286E+00    6.227129E+00
   30987   2   -4.208754    8.101683E-03    7.688277E-03    5.971599E+00    6.292697E+00
   30988   2   -4.218715    7.960303E-03    7.606165E-03    6.077658E+00    6.360630E+00
   30989   2   -4.227975    7.751343E-03    7.453370E-03    6.241499E+00    6.491023E+00
   30990   2   -4.236500    7.129523E-03    6.895962E-03    6.785868E+00    7.015700E+00
   30991   2   -4.244257    5.643891E-03    5.489264E-03    8.572101E+00    8.813568E+00
   31008   2   -4.243897    5.665745E-03    5.482022E-03    8.539037E+00    8.825210E+00
   31009   2   -4.236129    7.156629E-03    6.891612E-03    6.760166E+00    7.020129E+00
   31010   2   -4.227601    7.774516E-03    7.447480E-03    6.222896E+00    6.496157E+00
   31011   2   -4.218346    7.973660E-03    7.594436E-03    6.067477E+00    6.370453E+00
   31012   2   -4.208395    8.102530E-03    7.669426E-03    5.970974E+00    6.308165E+00
   31013   2   -4.197786    8.235667E-03    7.743351E-03    5.874448E+00    6.247941E+00
   31014   2   -4.186556    8.380196E-03    7.821927E-03    5.773134E+00    6.185176E+00
   31015   2   -4.174746    8.538808E-03    7.906488E-03    5.665896E+00    6.119026E+00
   31016   2   -4.162396    8.714446E-03    7.998524E-03    5.551701E+00    6.048616E+00
   31017   2   -4.149551    8.910332E-03    8.099731E-03    5.429652E+00    5.973038E+00
   31018   2   -4.136256    9.128461E-03    8.210690E-03    5.299908E+00    5.892318E+00
   31019   2   -4.122556    9.256215E-03    8.231584E-03    5.226758E+00    5.877362E+00
   31020   2   -4.108498    7.676874E-03    6.757374E-03    6.302044E+00    7.159586E+00
   31278   2   -4.101610    5.264101E-03    4.686072E-03    9.190553E+00    1.032421E+01
   31279   2   -4.115754    8.928138E-03    7.947883E-03    5.418823E+00    6.087156E+00
   31280   2   -4.129556    9.290366E-03    8.341788E-03    5.207545E+00    5.799715E+00
   31281   2   -4.142967    9.076869E-03    8.235243E-03    5.330032E+00    5.874751E+00
   31282   2   -4.155940    8.866952E-03    8.124233E-03    5.456215E+00    5.955023E+00
   31283   2   -4.168427    8.675632E-03    8.022016E-03    5.576539E+00    6.030903E+00
   31284   2   -4.180384    8.500512E-03    7.927049E-03    5.691422E+00    6.103154E+00
   31285   2   -4.191768    8.339500E-03    7.837995E-03    5.801307E+00    6.172497E+00
   31286   2   -4.202539    8.190919E-03    7.753841E-03    5.906541E+00    6.239488E+00
   31287   2   -4.212658    8.053000E-03    7.673444E-03    6.007699E+00    6.304861E+00
   31288   2   -4.222091    7.910589E-03    7.582856E-03    6.115853E+00    6.380182E+00
   31289   2   -4.230804    7.632687E-03    7.356497E-03    6.338528E+00    6.576500E+00
   31290   2   -4.238768    6.817841E-03    6.604325E-03    7.096088E+00    7.325502E+00
   31291   2   -4.245958    5.196925E-03    5.057121E-03    9.309351E+00    9.566707E+00
   31307   2   -4.245583    5.206763E-03    5.052111E-03    9.291762E+00    9.576195E+00
   31308   2   -4.238373    6.833345E-03    6.599447E-03    7.079988E+00    7.330917E+00
   31309   2   -4.230396    7.648056E-03    7.350286E-03    6.325791E+00    6.582057E+00
   31310   2   -4.221677    7.919842E-03    7.571733E-03    6.108708E+00    6.389554E+00
   31311   2   -4.212247    8.052281E-03    7.655254E-03    6.008235E+00    6.319843E+00
   31312   2   -4.202135    8.177821E-03    7.727849E-03    5.916001E+00    6.260475E+00
   31313   2   -4.191377    8.312708E-03    7.804108E-03    5.820005E+00    6.199299E+00
   31314   2   -4.180011    8.459805E-03    7.885617E-03    5.718808E+00    6.135221E+00
   31315   2   -4.168074    8.621871E-03    7.973757E-03    5.611311E+00    6.067404E+00
   31316   2   -4.155609    8.802002E-03    8.070147E-03    5.496477E+00    5.994934E+00
   31317   2   -4.142659    9.003454E-03    8.176512E-03    5.373493E+00    5.916948E+00
   31318   2   -4.129270    9.213081E-03    8.280071E-03    5.251229E+00    5.842945E+00
   31319   2   -4.115487    8.882065E-03    7.898735E-03    5.446931E+00    6.125031E+00
   31320   2   -4.101359    5.330415E-03    4.703718E-03    9.076217E+00    1.028548E+01
   31578   2   -4.108176    7.460061E-03    6.669887E-03    6.485202E+00    7.253496E+00
   31579   2   -4.122037    9.278827E-03    8.330710E-03    5.214021E+00    5.807428E+00
   31580   2   -4.135520    9.194833E-03    8.333559E-03    5.261651E+00    5.805443E+00
   31581   2   -4.148576    8.979476E-03    8.216102E-03    5.387842E+00    5.888437E+00
   31582   2   -4.161159    8.781968E-03    8.106779E-03    5.509016E+00    5.967845E+00
   31583   2   -4.173223    8.602029E-03    8.005868E-03    5.624255E+00    6.043067E+00
   31584   2   -4.184725    8.437429E-03    7.911936E-03    5.733974E+00    6.114812E+00
   31585   2   -4.195626    8.286318E-03    7.823836E-03    5.838540E+00    6.183668E+00
   31586   2   -4.205887    8.147208E-03    7.740722E-03    5.938231E+00    6.250063E+00
   31587   2   -4.215475    8.017523E-03    7.660687E-03    6.034283E+00    6.315361E+00
   31588   2   -4.224360    7.869648E-03    7.557824E-03    6.147670E+00    6.401313E+00
   31589   2   -4.232512    7.532792E-03    7.267778E-03    6.422585E+00    6.656780E+00
   31590   2   -4.239908    6.630745E-03    6.424031E-03    7.296314E+00    7.531097E+00
   31591   2   -4.246527    5.042219E-03    4.902278E-03    9.594982E+00    9.868881E+00
   31606   2   -4.246150    5.042219E-03    4.902278E-03    9.594982E+00    9.868881E+00
   31607   2   -4.239503    6.635735E-03    6.421979E-03    7.290828E+00    7.533504E+00
   31608   2   -4.232085    7.540378E-03    7.263838E-03    6.416124E+00    6.660391E+00
   31609   2   -4.223918    7.875071E-03    7.549916E-03    6.143437E+00    6.408018E+00
   31610   2   -4.215026    8.016413E-03    7.646495E-03    6.035119E+00    6.327082E+00
   31611   2   -4.205437    8.136194E-03    7.718815E-03    5.946269E+00    6.267801E+00
   31612   2   -4.195179    8.262964E-03    7.793413E-03    5.855042E+00    6.207806E+00
   31613   2   -4.184288    8.400292E-03    7.872652E-03    5.759323E+00    6.145325E+00
   31614   2   -4.172798    8.550725E-03    7.957786E-03    5.658000E+00    6.079580E+00
   31615   2   -4.160750    8.717170E-03    8.050321E-03    5.549966E+00    6.009698E+00
   31616   2   -4.148184    8.902846E-03    8.151985E-03    5.434218E+00    5.934751E+00
   31617   2   -4.135145    9.109064E-03    8.262771E-03    5.311193E+00    5.855179E+00
   31618   2   -4.121679    9.196923E-03    8.258943E-03    5.260455E+00    5.857893E+00
   31619   2   -4.107831    7.465445E-03    6.646638E-03    6.480524E+00    7.278867E+00
   31878   2   -4.113917    8.657339E-03    7.785765E-03    5.588322E+00    6.213904E+00
   31879   2   -4.127454    9.293012E-03    8.413654E-03    5.206063E+00    5.750177E+00
   31880   2   -4.140578    9.102565E-03    8.315920E-03    5.314986E+00    5.817757E+00
   31881   2   -4.153241    8.897984E-03    8.198751E-03    5.437187E+00    5.900899E+00
   31882   2   -4.165397    8.712120E-03    8.090957E-03    5.553183E+00    5.979515E+00
   31883   2   -4.177004    8.542936E-03    7.991288E-03    5.663158E+00    6.054093E+00
   31884   2   -4.188020    8.388432E-03    7.898489E-03    5.767466E+00    6.125222E+00
   31885   2   -4.198409    8.246962E-03    7.811596E-03    5.866402E+00    6.193356E+00
   31886   2   -4.208138    8.117161E-03    7.729889E-03    5.960212E+00    6.258822E+00
   31887   2   -4.217177    7.995358E-03    7.650437E-03    6.051011E+00    6.323822E+00
   31888   2   -4.225500    7.845727E-03    7.539416E-03    6.166414E+00    6.416943E+00
   31889   2   -4.233083    7.495533E-03    7.230337E-03    6.454511E+00    6.691251E+00
   31890   2   -4.239908    6.635735E-03    6.421979E-03    7.290828E+00    7.533504E+00
   31891   2   -4.245958    5.206763E-03    5.052111E-03    9.291762E+00    9.576195E+00
   31905   2   -4.245591    5.196925E-03    5.057121E-03    9.309351E+00    9.566707E+00
   31906   2   -4.239506    6.630745E-03    6.424031E-03    7.296314E+00    7.531097E+00
   31907   2   -4.232653    7.495533E-03    7.230337E-03    6.454511E+00    6.691251E+00
   31908   2   -4.225047    7.847509E-03    7.536555E-03    6.165013E+00    6.419378E+00
   31909   2   -4.216708    7.994616E-03    7.642689E-03    6.051573E+00    6.330233E+00
   31910   2   -4.207658    8.109889E-03    7.715345E-03    5.965556E+00    6.270620E+00
   31911   2   -4.197925    8.229822E-03    7.788813E-03    5.878621E+00    6.211473E+00
   31912   2   -4.187536    8.358908E-03    7.866452E-03    5.787837E+00    6.150168E+00
   31913   2   -4.176525    8.499466E-03    7.949393E-03    5.692122E+00    6.085999E+00
   31914   2   -4.164927    8.654168E-03    8.038994E-03    5.590370E+00    6.018166E+00
   31915   2   -4.152782    8.826054E-03    8.136869E-03    5.481498E+00    5.945776E+00
   31916   2   -4.140132    9.018167E-03    8.244586E-03    5.364727E+00    5.868094E+00
   31917   2   -4.127021    9.200959E-03    8.334778E-03    5.258148E+00    5.804594E+00
   31918   2   -4.113495    8.605375E-03    7.726714E-03    5.622068E+00    6.261394E+00
   32177   2   -4.105211    6.471893E-03    5.848726E-03    7.475401E+00    8.271888E+00
   32178   2   -4.118784    9.123190E-03    8.257754E-03    5.302970E+00    5.858736E+00
   32179   2   -4.131958    9.229610E-03    8.417425E-03    5.241825E+00    5.747601E+00
   32180   2   -4.144685    9.024787E-03    8.298375E-03    5.360791E+00    5.830057E+00
   32181   2   -4.156919    8.831857E-03    8.182760E-03    5.477897E+00    5.912431E+00
   32182   2   -4.168614    8.656983E-03    8.076439E-03    5.588552E+00    5.990264E+00
   32183   2   -4.179732    8.498091E-03    7.978117E-03    5.693043E+00    6.064088E+00
   32184   2   -4.190235    8.353380E-03    7.886712E-03    5.791668E+00    6.134368E+00
   32185   2   -4.200091    8.221367E-03    7.801428E-03    5.884666E+00    6.201429E+00
   32186   2   -4.209270    8.100770E-03    7.721645E-03    5.972271E+00    6.265504E+00
   32187   2   -4.217747    7.987481E-03    7.644046E-03    6.056978E+00    6.329109E+00
   32188   2   -4.225500    7.847509E-03    7.536555E-03    6.165013E+00    6.419378E+00
   32189   2   -4.232512    7.540378E-03    7.263838E-03    6.416124E+00    6.660391E+00
   32190   2   -4.238768    6.833345E-03    6.599447E-03    7.079988E+00    7.330917E+00
   32191   2   -4.244257    5.665745E-03    5.482022E-03    8.539037E+00    8.825210E+00
   32192   2   -4.248970    4.298601E-03    4.163804E-03    1.125482E+01    1.161918E+01
   32203   2   -4.248668    4.274842E-03    4.174583E-03    1.131738E+01    1.158918E+01
   32204   2   -4.243911    5.643891E-03    5.489264E-03    8.572101E+00    8.813568E+00
   32205   2   -4.238382    6.817841E-03    6.604325E-03    7.096088E+00    7.325502E+00
   32206   2   -4.232091    7.532792E-03    7.267778E-03    6.422585E+00    6.656780E+00
   32207   2   -4.225050    7.845727E-03    7.539416E-03    6.166414E+00    6.416943E+00
   32208   2   -4.217273    7.987481E-03    7.644046E-03    6.056978E+00    6.329109E+00
   32209   2   -4.208777    8.098236E-03    7.716557E-03    5.974141E+00    6.269636E+00
   32210   2   -4.199586    8.212322E-03    7.789261E-03    5.891147E+00    6.211116E+00
   32211   2   -4.189723    8.334448E-03    7.865840E-03    5.804823E+00    6.150646E+00
   32212   2   -4.179217    8.466680E-03    7.947294E-03    5.714164E+00    6.087606E+00
   32213   2   -4.168101    8.611418E-03    8.034810E-03    5.618122E+00    6.021300E+00
   32214   2   -4.156410    8.771470E-03    8.129852E-03    5.515609E+00    5.950908E+00
   32215   2   -4.144184    8.949937E-03    8.234085E-03    5.405625E+00    5.875577E+00
   32216   2   -4.131466    9.142215E-03    8.342276E-03    5.291934E+00    5.799377E+00
   32217   2   -4.118301    9.044468E-03    8.183507E-03    5.349126E+00    5.911891E+00
   32218   2   -4.104736    6.494728E-03    5.841278E-03    7.449119E+00    8.282434E+00
   32477   2   -4.109526    7.739345E-03    7.022126E-03    6.251175E+00    6.889651E+00
   32478   2   -4.122732    9.249175E-03    8.422268E-03    5.230737E+00    5.744296E+00
   32479   2   -4.135507    9.161589E-03    8.404320E-03    5.280743E+00    5.756563E+00
   32480   2   -4.147801    8.962687E-03    8.281922E-03    5.397935E+00    5.841639E+00
   32481   2   -4.159572    8.780917E-03    8.167982E-03    5.509675E+00    5.923128E+00
   32482   2   -4.170777    8.616515E-03    8.063234E-03    5.614799E+00    6.000074E+00
   32483   2   -4.181380    8.467558E-03    7.966517E-03    5.713572E+00    6.072917E+00
   32484   2   -4.191349    8.332404E-03    7.876910E-03    5.806248E+00    6.142002E+00
   32485   2   -4.200653    8.209696E-03    7.793757E-03    5.893032E+00    6.207532E+00
   32486   2   -4.209270    8.098236E-03    7.716557E-03    5.974141E+00    6.269636E+00
   32487   2   -4.217177    7.994616E-03    7.642689E-03    6.051573E+00    6.330233E+00
   32488   2   -4.224359    7.875071E-03    7.549916E-03    6.143437E+00    6.408018E+00
   32489   2   -4.230803    7.648056E-03    7.350286E-03    6.325791E+00    6.582057E+00
   32490   2   -4.236499    7.156629E-03    6.891612E-03    6.760166E+00    7.020129E+00
   32491   2   -4.241440    6.326072E-03    6.100329E-03    7.647716E+00    7.930720E+00
   32492   2   -4.245620    5.282229E-03    5.097679E-03    9.159013E+00    9.490594E+00
   32493   2   -4.249037    4.255680E-03    4.107812E-03    1.136834E+01    1.177756E+01
   32501   2   -4.248820    4.213133E-03    4.117148E-03    1.148314E+01    1.175085E+01
   32502   2   -4.245353    5.239816E-03    5.103731E-03    9.233149E+00    9.479340E+00
   32503   2   -4.241125    6.288940E-03    6.104458E-03    7.692871E+00    7.925355E+00
   32504   2   -4.236142    7.129523E-03    6.895962E-03    6.785868E+00    7.015700E+00
   32505   2   -4.230406    7.632687E-03    7.356497E-03    6.338528E+00    6.576500E+00
   32506   2   -4.223928    7.869648E-03    7.557824E-03    6.147670E+00    6.401313E+00
   32507   2   -4.216715    7.995358E-03    7.650437E-03    6.051011E+00    6.323822E+00
   32508   2   -4.208782    8.100770E-03    7.721645E-03    5.972271E+00    6.265504E+00
   32509   2   -4.200146    8.209696E-03    7.793757E-03    5.893032E+00    6.207532E+00
   32510   2   -4.190826    8.325889E-03    7.869672E-03    5.810791E+00    6.147652E+00
   32511   2   -4.180848    8.451112E-03    7.950214E-03    5.724690E+00    6.085370E+00
   32512   2   -4.170239    8.587472E-03    8.036393E-03    5.633788E+00    6.020114E+00
   32513   2   -4.159032    8.737506E-03    8.129498E-03    5.537049E+00    5.951167E+00
   32514   2   -4.147264    8.904120E-03    8.231076E-03    5.433440E+00    5.877725E+00
   32515   2   -4.134974    9.088241E-03    8.340851E-03    5.323363E+00    5.800367E+00
   32516   2   -4.122207    9.169470E-03    8.350491E-03    5.276204E+00    5.793671E+00
   32517   2   -4.109007    7.720242E-03    6.987512E-03    6.266643E+00    6.923781E+00
   32777   2   -4.112924    8.436847E-03    7.685126E-03    5.734369E+00    6.295277E+00
   32778   2   -4.125727    9.255530E-03    8.469332E-03    5.227145E+00    5.712375E+00
   32779   2   -4.138066    9.105526E-03    8.388497E-03    5.313257E+00    5.767421E+00
   32780   2   -4.149896    8.916476E-03    8.266719E-03    5.425910E+00    5.852383E+00
   32781   2   -4.161174    8.745339E-03    8.154588E-03    5.532090E+00    5.932857E+00
   32782   2   -4.171864    8.591001E-03    8.051673E-03    5.631474E+00    6.008689E+00
   32783   2   -4.181932    8.451691E-03    7.956961E-03    5.724298E+00    6.080211E+00
   32784   2   -4.191349    8.325889E-03    7.869672E-03    5.810791E+00    6.147652E+00
   32785   2   -4.200091    8.212322E-03    7.789261E-03    5.891147E+00    6.211116E+00
   32786   2   -4.208138    8.109889E-03    7.715345E-03    5.965556E+00    6.270620E+00
   32787   2   -4.215475    8.016413E-03    7.646495E-03    6.035119E+00    6.327082E+00
   32788   2   -4.222090    7.919842E-03    7.571733E-03    6.108708E+00    6.389554E+00
   32789   2   -4.227975    7.774516E-03    7.447480E-03    6.222896E+00    6.496157E+00
   32790   2   -4.233124    7.493931E-03    7.190222E-03    6.455890E+00    6.728582E+00
   32791   2   -4.237533    7.012358E-03    6.735976E-03    6.899248E+00    7.182330E+00
   32792   2   -4.241202    6.362131E-03    6.115596E-03    7.604370E+00    7.910921E+00
   32793   2   -4.244131    5.663404E-03    5.445415E-03    8.542566E+00    8.884539E+00
   32794   2   -4.246320    5.047456E-03    4.852944E-03    9.585027E+00    9.969206E+00
   32795   2   -4.247769    4.602346E-03    4.423927E-03    1.051203E+01    1.093599E+01
   32796   2   -4.248481    4.368733E-03    4.198077E-03    1.107415E+01    1.152432E+01
   32797   2   -4.248455    4.292285E-03    4.197750E-03    1.127139E+01    1.152522E+01
   32798   2   -4.247691    4.526560E-03    4.420737E-03    1.068803E+01    1.094388E+01
   32799   2   -4.246190    4.972274E-03    4.847037E-03    9.729954E+00    9.981355E+00
   32800   2   -4.243951    5.590871E-03    5.437726E-03    8.653392E+00    8.897102E+00
   32801   2   -4.240974    6.296298E-03    6.107967E-03    7.683880E+00    7.920803E+00
   32802   2   -4.237258    6.958102E-03    6.730926E-03    6.953046E+00    7.187718E+00
   32803   2   -4.232804    7.454848E-03    7.190110E-03    6.489736E+00    6.728687E+00
   32804   2   -4.227613    7.751343E-03    7.453370E-03    6.241499E+00    6.491023E+00
   32805   2   -4.221690    7.910589E-03    7.582856E-03    6.115853E+00    6.380182E+00
   32806   2   -4.215040    8.017523E-03    7.660687E-03    6.034283E+00    6.315361E+00
   32807   2   -4.207672    8.117161E-03    7.729889E-03    5.960212E+00    6.258822E+00
   32808   2   -4.199598    8.221367E-03    7.801428E-03    5.884666E+00    6.201429E+00
   32809   2   -4.190834    8.332404E-03    7.876910E-03    5.806248E+00    6.142002E+00
   32810   2   -4.181400    8.451691E-03    7.956961E-03    5.724298E+00    6.080211E+00
   32811   2   -4.171320    8.581033E-03    8.042409E-03    5.638016E+00    6.015611E+00
   32812   2   -4.160623    8.722670E-03    8.134358E-03    5.546467E+00    5.947611E+00
   32813   2   -4.149341    8.879244E-03    8.234181E-03    5.448662E+00    5.875508E+00
   32814   2   -4.137512    9.052880E-03    8.342718E-03    5.344156E+00    5.799069E+00
   32815   2   -4.125176    9.190278E-03    8.411366E-03    5.264258E+00    5.751741E+00
   32816   2   -4.112378    8.397614E-03    7.640517E-03    5.761160E+00    6.332032E+00
   33076   2   -4.102560    5.460816E-03    4.993906E-03    8.859482E+00    9.687808E+00
   33077   2   -4.115373    8.771556E-03    8.016069E-03    5.515555E+00    6.035377E+00
   33078   2   -4.127740    9.230851E-03    8.475573E-03    5.241120E+00    5.708169E+00
   33079   2   -4.139612    9.065287E-03    8.373247E-03    5.336842E+00    5.777926E+00
   33080   2   -4.150949    8.886601E-03    8.253159E-03    5.444151E+00    5.861998E+00
   33081   2   -4.161710    8.725645E-03    8.143097E-03    5.544576E+00    5.941228E+00
   33082   2   -4.171864    8.581033E-03    8.042409E-03    5.638016E+00    6.015611E+00
   33083   2   -4.181380    8.451112E-03    7.950214E-03    5.724690E+00    6.085370E+00
   33084   2   -4.190235    8.334448E-03    7.865840E-03    5.804823E+00    6.150646E+00
   33085   2   -4.198409    8.229822E-03    7.788813E-03    5.878621E+00    6.211473E+00
   33086   2   -4.205887    8.136194E-03    7.718815E-03    5.946269E+00    6.267801E+00
   33087   2   -4.212658    8.052281E-03    7.655254E-03    6.008235E+00    6.319843E+00
   33088   2   -4.218715    7.973660E-03    7.594436E-03    6.067477E+00    6.370453E+00
   33089   2   -4.224054    7.884169E-03    7.521223E-03    6.136347E+00    6.432464E+00
   33090   2   -4.228673    7.749506E-03    7.402728E-03    6.242978E+00    6.535429E+00
   33091   2   -4.232573    7.533847E-03    7.204290E-03    6.421686E+00    6.715443E+00
   33092   2   -4.235755    7.234126E-03    6.922743E-03    6.687746E+00    6.988560E+00
   33093   2   -4.238222    6.893867E-03    6.600004E-03    7.017832E+00    7.330298E+00
   33094   2   -4.239975    6.582500E-03    6.303205E-03    7.349791E+00    7.675460E+00
   33095   2   -4.241016    6.364694E-03    6.094995E-03    7.601309E+00    7.937661E+00
   33096   2   -4.241348    6.282299E-03    6.016021E-03    7.701002E+00    8.041860E+00
   33097   2   -4.240969    6.242776E-03    6.054173E-03    7.749757E+00    7.991183E+00
   33098   2   -4.239881    6.469295E-03    6.265502E-03    7.478404E+00    7.721648E+00
   33099   2   -4.238082    6.791904E-03    6.566872E-03    7.123186E+00    7.367282E+00
